Gene,Non-unique Gene name,Annotation,SPARK_0516,SPARK_1059,SPARK_1507,SPARK_1852,SPARK_1954,SPARK_2540
ytbE~~~yvgN,ytbE;yvgN,putative oxidoreductase YtbE;Glyoxal reductase,JHOIBPIP_01567,HHCJKAOK_02112,BNPNPENK_02058,LNHDNJLJ_02208,KJPPOAMA_01547,KELBMKEO_01727
group_2330,,hypothetical protein,JHOIBPIP_01576,HHCJKAOK_02121,BNPNPENK_02069,LNHDNJLJ_02232,KJPPOAMA_01562,KELBMKEO_01748
group_2323,,hypothetical protein,JHOIBPIP_01577,HHCJKAOK_02122,BNPNPENK_02070,LNHDNJLJ_02233,KJPPOAMA_01563,KELBMKEO_01749
elfC_3~~~lpfC~~~elfC_2,elfC_3;lpfC';elfC_2,putative outer membrane usher protein ElfC;putative outer membrane usher protein LpfC',JHOIBPIP_03929;JHOIBPIP_03930,HHCJKAOK_04473,BNPNPENK_04527,LNHDNJLJ_04570,KJPPOAMA_03931,KELBMKEO_04092
fimC_2,fimC_2,Chaperone protein FimC,JHOIBPIP_03928,HHCJKAOK_04472,BNPNPENK_04526,LNHDNJLJ_04569,KJPPOAMA_03930,KELBMKEO_04091
group_2318,,hypothetical protein,JHOIBPIP_02480,HHCJKAOK_03063,BNPNPENK_03029,LNHDNJLJ_03152,KJPPOAMA_02505,KELBMKEO_02705
group_2316,,hypothetical protein,JHOIBPIP_01500,HHCJKAOK_01990,BNPNPENK_01969,LNHDNJLJ_02057,KJPPOAMA_01428,KELBMKEO_01669
btuD_1~~~fpuC,btuD_1;fpuC,Vitamin B12 import ATP-binding protein BtuD;Petrobactin import ATP-binding protein FpuC,JHOIBPIP_01384,HHCJKAOK_01865,BNPNPENK_01867,LNHDNJLJ_01929,KJPPOAMA_01310,KELBMKEO_01494
group_2311,,hypothetical protein,JHOIBPIP_03755,HHCJKAOK_04316,BNPNPENK_04364,LNHDNJLJ_04393,KJPPOAMA_03771,KELBMKEO_03919
group_2310,,hypothetical protein,JHOIBPIP_02481,HHCJKAOK_03064,BNPNPENK_03030,LNHDNJLJ_03153,KJPPOAMA_02506,KELBMKEO_02706
group_2309,,hypothetical protein,JHOIBPIP_03932;JHOIBPIP_03931,HHCJKAOK_04474,BNPNPENK_04528,LNHDNJLJ_04571,KJPPOAMA_03932,KELBMKEO_04093
yraA,yraA,Putative cysteine protease YraA,JHOIBPIP_01578,HHCJKAOK_02123,BNPNPENK_02072,LNHDNJLJ_02235,KJPPOAMA_01564,KELBMKEO_01750
group_2305,,hypothetical protein,JHOIBPIP_01849,HHCJKAOK_02406,BNPNPENK_02358,LNHDNJLJ_02524,KJPPOAMA_01829,KELBMKEO_02032
group_2303,,hypothetical protein,JHOIBPIP_01499,HHCJKAOK_01989,BNPNPENK_01968,LNHDNJLJ_02056,KJPPOAMA_01427,KELBMKEO_01668
group_2298,,hypothetical protein,JHOIBPIP_03927,HHCJKAOK_04471,BNPNPENK_04525,LNHDNJLJ_04568,KJPPOAMA_03929,KELBMKEO_04090
fabG_8~~~fabG_11,fabG_8;fabG_11,3-oxoacyl-[acyl-carrier-protein] reductase FabG,JHOIBPIP_03214,HHCJKAOK_03749,BNPNPENK_03807,LNHDNJLJ_03848,KJPPOAMA_03248,KELBMKEO_03387
group_2295,,hypothetical protein,JHOIBPIP_03213,HHCJKAOK_03748,BNPNPENK_03806,LNHDNJLJ_03847,KJPPOAMA_03247,KELBMKEO_03386
group_2293,,hypothetical protein,JHOIBPIP_03212,HHCJKAOK_03747,BNPNPENK_03805,LNHDNJLJ_03846,KJPPOAMA_03246,KELBMKEO_03385
gcvT_2,gcvT_2,Aminomethyltransferase,JHOIBPIP_03211,HHCJKAOK_03746,BNPNPENK_03804,LNHDNJLJ_03845,KJPPOAMA_03245,KELBMKEO_03384
group_2290,,hypothetical protein;Actinorhodin polyketide putative beta-ketoacyl synthase 1,JHOIBPIP_03210,HHCJKAOK_03745;HHCJKAOK_03744,BNPNPENK_03803,LNHDNJLJ_03844,KJPPOAMA_03244,KELBMKEO_03383
group_2288,,hypothetical protein,JHOIBPIP_03209,HHCJKAOK_03743,BNPNPENK_03802,LNHDNJLJ_03843,KJPPOAMA_03243,KELBMKEO_03382
group_2286,,hypothetical protein,JHOIBPIP_03208,HHCJKAOK_03742,BNPNPENK_03801,LNHDNJLJ_03842,KJPPOAMA_03242,KELBMKEO_03381
